"hospital_name","city","state","county_name","hospital_type","hospital_ownership","emergency_services","beds","trauma","mortality_national_comparison","rating"
"CATSKILL REGIONAL MEDICAL CENTER","HARRIS","NY","SULLIVAN","Acute Care Hospitals","Voluntary non-profit - Private","True",154,"NOT AVAILABLE","Same as the National average","2.0"
"DUKE UNIVERSITY HOSPITAL","DURHAM","NC","DURHAM","Acute Care Hospitals","Proprietary","True",943,"LEVEL I","Same as the National average","4.0"
"NORTH CAROLINA BAPTIST HOSPITAL","WINSTON-SALEM","NC","FORSYTH","Acute Care Hospitals","Voluntary non-profit - Private","True",872,"LEVEL I","Same as the National average","3.0"
"CATAWBA VALLEY MEDICAL CENTER","HICKORY","NC","CATAWBA","Acute Care Hospitals","Voluntary non-profit - Other","True",258,"NOT AVAILABLE","Below the National average","3.0"
"CARRINGTON HEALTH CENTER","CARRINGTON","ND","FOSTER","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","4.0"
"MIAMI VALLEY HOSPITAL","DAYTON","OH","MONTGOMERY","Acute Care Hospitals","Voluntary non-profit - Private","True",883,"LEVEL I","Above the National average","4.0"
"ATRIUM MEDICAL CENTER","FRANKLIN","OH","WARREN","Acute Care Hospitals","Voluntary non-profit - Private","True",328,"LEVEL III","Same as the National average","4.0"
"ATRIUM MEDICAL CENTER","FRANKLIN","OH","WARREN","Acute Care Hospitals","Voluntary non-profit - Private","True",68,"NOT AVAILABLE","Same as the National average","4.0"
"NORTHSIDE MEDICAL CENTER","YOUNGSTOWN","OH","MAHONING","Acute Care Hospitals","Proprietary","True",398,"NOT AVAILABLE","Same as the National average","2.0"
"NORTHSIDE MEDICAL CENTER","YOUNGSTOWN","OH","MAHONING","Acute Care Hospitals","Proprietary","True",100,"NOT AVAILABLE","Same as the National average","2.0"
"STILLWATER MEDICAL CENTER","STILLWATER","OK","PAYNE","Acute Care Hospitals","Voluntary non-profit - Other","True",117,"LEVEL III","Same as the National average","4.0"
"GRADY MEMORIAL HOSPITAL","CHICKASHA","OK","GRADY","Acute Care Hospitals","Government - Hospital District or Authority","True",75,"LEVEL III","Same as the National average","3.0"
"GRADY MEMORIAL HOSPITAL","CHICKASHA","OK","GRADY","Acute Care Hospitals","Government - Hospital District or Authority","True",953,"LEVEL I","Same as the National average","3.0"
"GRADY MEMORIAL HOSPITAL","CHICKASHA","OK","GRADY","Acute Care Hospitals","Government - Hospital District or Authority","True",152,"NOT AVAILABLE","Same as the National average","3.0"
"ST ANTHONY HOSPITAL","PENDLETON","OR","UMATILLA","Critical Access Hospitals","Voluntary non-profit - Church","True",30,"LEVEL IV","Same as the National average","4.0"
"ST ANTHONY HOSPITAL","PENDLETON","OR","UMATILLA","Critical Access Hospitals","Voluntary non-profit - Church","True",151,"NOT AVAILABLE","Same as the National average","4.0"
"EVANGELICAL COMMUNITY HOSPITAL","LEWISBURG","PA","UNION","Acute Care Hospitals","Voluntary non-profit - Other","True",127,"NOT AVAILABLE","Same as the National average","3.0"
"GOOD SAMARITAN HOSPITAL","LEBANON","PA","LEBANON","Acute Care Hospitals","Voluntary non-profit - Other","True",200,"LEVEL III, LEVEL I REHAB","Below the National average","2.0"
"GOOD SAMARITAN HOSPITAL","LEBANON","PA","LEBANON","Acute Care Hospitals","Voluntary non-profit - Other","True",175,"LEVEL III","Below the National average","2.0"
"GOOD SAMARITAN HOSPITAL","LEBANON","PA","LEBANON","Acute Care Hospitals","Voluntary non-profit - Other","True",657,"NOT AVAILABLE","Below the National average","2.0"
"ROBERT PACKER HOSPITAL","SAYRE","PA","BRADFORD","Acute Care Hospitals","Voluntary non-profit - Other","True",238,"LEVEL II","Same as the National average","2.0"
"UPMC HAMOT","ERIE","PA","ERIE","Acute Care Hospitals","Voluntary non-profit - Private","True",412,"LEVEL II","Same as the National average","3.0"
"CLARION HOSPITAL","CLARION","PA","CLARION","Acute Care Hospitals","Voluntary non-profit - Other","True",82,"NOT AVAILABLE","Same as the National average","2.0"
"WARREN GENERAL HOSPITAL","WARREN","PA","WARREN","Acute Care Hospitals","Voluntary non-profit - Private","True",89,"NOT AVAILABLE","Same as the National average","3.0"
"ACMH HOSPITAL","KITTANNING","PA","ARMSTRONG","Acute Care Hospitals","Voluntary non-profit - Private","True",155,"NOT AVAILABLE","Same as the National average","4.0"
"BUTLER MEMORIAL HOSPITAL","BUTLER","PA","BUTLER","Acute Care Hospitals","Voluntary non-profit - Private","True",296,"NOT AVAILABLE","Same as the National average","4.0"
"EXCELA HEALTH LATROBE HOSPITAL","LATROBE","PA","WESTMORELAND","Acute Care Hospitals","Voluntary non-profit - Other","True",188,"NOT AVAILABLE","Same as the National average","3.0"
"ST MARY MEDICAL CENTER","LANGHORNE","PA","BUCKS","Acute Care Hospitals","Voluntary non-profit - Church","True",374,"LEVEL I","Same as the National average","4.0"
"ST MARY MEDICAL CENTER","LANGHORNE","PA","BUCKS","Acute Care Hospitals","Voluntary non-profit - Church","True",90,"LEVEL II","Same as the National average","4.0"
"AUXILIO MUTUO HOSPITAL","HATO REY","PR","SAN JUAN","Acute Care Hospitals","Voluntary non-profit - Private","True",483,"NOT AVAILABLE","Below the National average","2.0"
"METROPOLITAN HOSPITAL","SAN JUAN","PR","SAN JUAN","Acute Care Hospitals","Proprietary","True",64,"NOT AVAILABLE","Same as the National average","1.0"
"ST FRANCIS-DOWNTOWN","GREENVILLE","SC","GREENVILLE","Acute Care Hospitals","Voluntary non-profit - Private","True",245,"NOT AVAILABLE","Below the National average","4.0"
"UNICOI COUNTY MEMORIAL HOSPITAL","ERWIN","TN","UNICOI","Acute Care Hospitals","Voluntary non-profit - Private","True",10,"NOT AVAILABLE","Same as the National average","3.0"
"TRISTAR SKYLINE MEDICAL CENTER","NASHVILLE","TN","DAVIDSON","Acute Care Hospitals","Voluntary non-profit - Private","True",213,"LEVEL II","Same as the National average","2.0"
"PAMPA REGIONAL MEDICAL CENTER","PAMPA","TX","GRAY","Acute Care Hospitals","Proprietary","True",115,"LEVEL IV","Same as the National average","3.0"
"TEXOMA MEDICAL CENTER","DENISON","TX","GRAYSON","Acute Care Hospitals","Proprietary","True",245,"LEVEL III","Same as the National average","2.0"
"WESTERN ARIZONA REGIONAL MEDICAL CENTER","BULLHEAD CITY","AZ","MOHAVE","Acute Care Hospitals","Proprietary","True",139,"LEVEL IV","Same as the National average","2.0"
"CHILDRESS REGIONAL MEDICAL CENTER","CHILDRESS","TX","CHILDRESS","Acute Care Hospitals","Government - Hospital District or Authority","True",39,"LEVEL IV","Same as the National average","4.0"
"INTERMOUNTAIN MEDICAL CENTER","MURRAY","UT","SALT LAKE","Acute Care Hospitals","Voluntary non-profit - Private","True",452,"LEVEL I","Same as the National average","3.0"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","MURRAY","UT","SALT LAKE","Acute Care Hospitals","Voluntary non-profit - Private","False",40,"NOT AVAILABLE","Not Available","4.0"
"CENTRAL VERMONT MEDICAL CENTER","BARRE","VT","WASHINGTON","Acute Care Hospitals","Voluntary non-profit - Private","True",122,"NOT AVAILABLE","Same as the National average","4.0"
"SPRINGFIELD HOSPITAL","SPRINGFIELD","VT","WINDSOR","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","2.0"
"SPRINGFIELD HOSPITAL","SPRINGFIELD","VT","WINDSOR","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Same as the National average","2.0"
"UNIVERSITY OF VIRGINIA MEDICAL CENTER","CHARLOTTESVILLE","VA","CHARLOTTESVILLE CITY","Acute Care Hospitals","Government - State","True",614,"LEVEL I","Below the National average","2.0"
"INOVA FAIRFAX HOSPITAL","FALLS CHURCH","VA","FAIRFAX","Acute Care Hospitals","Voluntary non-profit - Other","True",923,"LEVEL I","Same as the National average","3.0"
"BANNER LASSEN MEDICAL CENTER","SUSANVILLE","CA","LASSEN","Critical Access Hospitals","Voluntary non-profit - Private","True",38,"NOT AVAILABLE","Same as the National average","4.0"
"LEWISGALE HOSPITAL ALLEGHANY","LOW MOOR","VA","ALLEGHANY","Acute Care Hospitals","Proprietary","True",205,"NOT AVAILABLE","Same as the National average","3.0"
"WEST VIRGINIA UNIVERSITY HOSPITALS","MORGANTOWN","WV","MONONGALIA","Acute Care Hospitals","Voluntary non-profit - Private","True",677,"LEVEL I","Below the National average","2.0"
"GREENBRIER VALLEY MEDICAL CENTER","RONCEVERTE","WV","GREENBRIER","Acute Care Hospitals","Proprietary","True",122,"NOT AVAILABLE","Same as the National average","3.0"
"WETZEL COUNTY HOSPITAL","NEW MARTINSVILLE","WV","WETZEL","Acute Care Hospitals","Government - Local","True",58,"LEVEL IV","Same as the National average","3.0"
"COMMUNITY MEMORIAL HOSPITAL","MENOMONEE FALLS","WI","WAUKESHA","Acute Care Hospitals","Voluntary non-profit - Private","True",18,"LEVEL IV","Below the National average","3.0"
"COMMUNITY MEMORIAL HOSPITAL","MENOMONEE FALLS","WI","WAUKESHA","Acute Care Hospitals","Voluntary non-profit - Private","True",25,"NOT AVAILABLE","Below the National average","3.0"
"COMMUNITY MEMORIAL HOSPITAL","MENOMONEE FALLS","WI","WAUKESHA","Acute Care Hospitals","Voluntary non-profit - Private","True",25,"LEVEL IV","Below the National average","3.0"
"COMMUNITY MEMORIAL HOSPITAL","MENOMONEE FALLS","WI","WAUKESHA","Acute Care Hospitals","Voluntary non-profit - Private","True",36,"LEVEL IV","Below the National average","3.0"
"COMMUNITY MEMORIAL HOSPITAL","MENOMONEE FALLS","WI","WAUKESHA","Acute Care Hospitals","Voluntary non-profit - Private","True",25,"TRH","Below the National average","3.0"
"COMMUNITY MEMORIAL HOSPITAL","MENOMONEE FALLS","WI","WAUKESHA","Acute Care Hospitals","Voluntary non-profit - Private","True",16,"TRH","Below the National average","3.0"
"COMMUNITY MEMORIAL HOSPITAL","MENOMONEE FALLS","WI","WAUKESHA","Acute Care Hospitals","Voluntary non-profit - Private","True",30,"NOT AVAILABLE","Below the National average","3.0"
"SPOONER HEALTH SYSTEM","SPOONER","WI","WASHBURN","Critical Access Hospitals","Voluntary non-profit - Private","True",25,"LEVEL IV","Same as the National average","3.0"
"GUAM MEMORIAL HOSPITAL AUTHORITY","TAMUNING","GU",NULL,"Acute Care Hospitals","Government - Local","True",158,"NOT AVAILABLE","Below the National average","2.0"
"PLATTE VALLEY MEDICAL CENTER","BRIGHTON","CO","ADAMS","Acute Care Hospitals","Voluntary non-profit - Private","True",70,"LEVEL III","Same as the National average","3.0"
"MARIAN REGIONAL MEDICAL CENTER","SANTA MARIA","CA","SANTA BARBARA","Acute Care Hospitals","Voluntary non-profit - Church","True",321,"LEVEL III","Below the National average","3.0"
"HONORHEALTH DEER VALLEY MEDICAL CENTER","PHOENIX","AZ","MARICOPA","Acute Care Hospitals","Voluntary non-profit - Private","True",204,"LEVEL I","Same as the National average","3.0"
"LOS ALAMITOS MEDICAL CENTER","LOS ALAMITOS","CA","ORANGE","Acute Care Hospitals","Proprietary","True",167,"NOT AVAILABLE","Same as the National average","3.0"
"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","PHOENIX","AZ","MARICOPA","Acute Care Hospitals","Voluntary non-profit - Church","True",607,"LEVEL I","Above the National average","3.0"
"SIBLEY MEMORIAL HOSPITAL","WASHINGTON","DC","DISTRICT OF COLUMBIA","Acute Care Hospitals","Voluntary non-profit - Other","True",318,"NOT AVAILABLE","Same as the National average","3.0"
"WEST ANAHEIM MEDICAL CENTER","ANAHEIM","CA","ORANGE","Acute Care Hospitals","Proprietary","True",219,"NOT AVAILABLE","Above the National average","3.0"
"UNIVERSITY HOSPITAL AND MEDICAL CENTER","TAMARAC","FL","BROWARD","Acute Care Hospitals","Proprietary","True",317,"NOT AVAILABLE","Same as the National average","2.0"
"PALM BAY HOSPITAL","PALM BAY","FL","BREVARD","Acute Care Hospitals","Proprietary","True",138,"NOT AVAILABLE","Same as the National average","4.0"
"HOMESTEAD HOSPITAL","HOMESTEAD","FL","MIAMI-DADE","Acute Care Hospitals","Voluntary non-profit - Private","True",142,"NOT AVAILABLE","Same as the National average","3.0"
"UAMS MEDICAL CENTER","LITTLE ROCK","AR","PULASKI","Acute Care Hospitals","Government - State","True",400,"LEVEL I","Same as the National average","1.0"
"BANNER THUNDERBIRD MEDICAL CENTER","GLENDALE","AZ","MARICOPA","Acute Care Hospitals","Government - Hospital District or Authority","True",480,"LEVEL I","Same as the National average","3.0"
"CHINO VALLEY MEDICAL CENTER","CHINO","CA","SAN BERNARDINO","Acute Care Hospitals","Proprietary","True",126,"NOT AVAILABLE","Same as the National average","4.0"
"JEFFERSON REGIONAL MEDICAL CENTER","PINE BLUFF","AR","JEFFERSON","Acute Care Hospitals","Voluntary non-profit - Private","True",373,"NOT AVAILABLE","Below the National average","2.0"
"JEFFERSON REGIONAL MEDICAL CENTER","PINE BLUFF","AR","JEFFERSON","Acute Care Hospitals","Voluntary non-profit - Private","True",471,"LEVEL III","Below the National average","2.0"
"EL CENTRO REGIONAL MEDICAL CENTER","EL CENTRO","CA","IMPERIAL","Acute Care Hospitals","Voluntary non-profit - Other","True",161,"LEVEL IV","Same as the National average","2.0"
"SCOTTSDALE SHEA MEDICAL CENTER","SCOTTSDALE","AZ","MARICOPA","Acute Care Hospitals","Proprietary","True",433,"NOT AVAILABLE","Same as the National average","3.0"
"ST JOSEPH'S HOSPITAL","TUCSON","AZ","PIMA","Acute Care Hospitals","Voluntary non-profit - Other","True",486,"LEVEL III","Below the National average","3.0"
"ST JOSEPH'S HOSPITAL","TUCSON","AZ","PIMA","Acute Care Hospitals","Voluntary non-profit - Other","True",780,"LEVEL II","Below the National average","3.0"
"BAPTIST HEALTH MEDICAL CENTER-STUTTGART","STUTTGART","AR","ARKANSAS","Acute Care Hospitals","Voluntary non-profit - Private","True",49,"LEVEL IV","Same as the National average","4.0"
"TEMECULA VALLEY HOSPITAL","TEMECULA","CA","RIVERSIDE","Acute Care Hospitals","Proprietary","True",140,"NOT AVAILABLE","Same as the National average","3.0"
